pitch_coord_sequence,pitch_types_sequence,pitch_results_sequence,ending_type,good_ending
"[(-4.464710623091989, 10.621115665310317), (-14.1114391949419, 15.87925545413694), (5.622892197935947, 8.555203721126944), (-3.8848935549389356, 22.3117019511317), (-11.728742801744781, -36.809796316612484), (-21.033115138476315, 13.843646436139958), (-10.73817055072494, 8.653279880132777), (6.598231883468398, 10.14075781862938)]","['fastball', 'fastball', 'breaking', 'fastball', 'offspeed', 'fastball', 'fastball', 'offspeed']","['WHIFF', 'BALL', 'CALLED-STRIKE', 'FOUL', 'BALL', 'BALL', 'FOUL', 'BALL']",walk,False
"[(3.7989370651604855, 10.949263590837402), (15.54415960606824, 4.658723285864975), (-12.142303358932528, -2.5823791063347676), (7.567370839354017, 14.259001565074708), (-0.5281944402449256, -0.09151631073677259), (-28.15175362312812, 1.6035242505264706), (-3.000602034502885, -11.678185360122125), (0.7572808985075585, 7.50951601045544)]","['fastball', 'fastball', 'breaking', 'fastball', 'breaking', 'fastball', 'breaking', 'fastball']","['CALLED-STRIKE', 'WHIFF', 'FOUL', 'BALL', 'FOUL', 'FOUL', 'FOUL', 'CALLED-STRIKE']",strikeout,True
"[(-7.512293026024248, -6.001792783605186), (-5.19259573356592, 11.79598345914078), (-22.44710458418177, -14.276655197719158), (-7.2101075421608245, -2.708648837302388)]","['breaking', 'fastball', 'breaking', 'fastball']","['WHIFF', 'FOUL', 'BALL', 'HARD-INPLAY']",hard-inplay,False
"[(-4.962847931748044, -11.468012207066314), (-15.089492116598446, 4.5404703683559315), (-5.653559805763506, 2.572778963350294), (-4.040275429542665, 5.679035025390651)]","['fastball', 'fastball', 'fastball', 'fastball']","['CALLED-STRIKE', 'BALL', 'CALLED-STRIKE', 'CALLED-STRIKE']",strikeout,True
"[(-0.46117819004700444, -3.884144647283381), (-6.916856836546181, -3.617080408602027), (-6.306118066035701, 18.655890774860076)]","['fastball', 'fastball', 'fastball']","['CALLED-STRIKE', 'WHIFF', 'WHIFF']",strikeout,True
"[(1.8172891806599099, 14.881326117392604), (-3.688300911166501, 12.272584001920402)]","['fastball', 'fastball']","['BALL', 'SOFT-INPLAY']",soft-inplay,True
"[(-10.965460664609397, 4.8306839919401785)]",['fastball'],['SOFT-INPLAY'],soft-inplay,True
"[(-7.402294763129627, 8.05559818016792), (-9.25458246487577, 9.888485097528436), (-1.824941510472493, 22.826549508661238), (-3.0895985505861776, -3.71997194593193)]","['fastball', 'fastball', 'fastball', 'breaking']","['CALLED-STRIKE', 'FOUL', 'BALL', 'CALLED-STRIKE']",strikeout,True
"[(-4.324591267047084, 11.538120569997192), (-1.563462941462211, 8.712882177221749), (-4.1286070814585, 11.483298646025277), (-3.763899212675713, 10.068021146358042)]","['fastball', 'fastball', 'breaking', 'fastball']","['BALL', 'FOUL', 'CALLED-STRIKE', 'CALLED-STRIKE']",strikeout,True
"[(3.3859607303901944, -6.519413022838102), (-9.62556469725756, -0.36172080710117577), (-18.75558758902446, -10.052307205787875), (10.433862465393998, 22.0283088089081), (4.993911409850154, 3.3889482623674163)]","['fastball', 'fastball', 'breaking', 'fastball', 'fastball']","['CALLED-STRIKE', 'CALLED-STRIKE', 'BALL', 'FOUL', 'CALLED-STRIKE']",strikeout,True
